,combinedPval,adjustedPval
MYH15,2.67021838903959e-135,3.10421838056958e-130
MYH7,1.47814391258975e-109,8.59195922217902e-105
SERPINE2,1.40756818864566e-88,5.45448399905402e-84
MYH1F,1.67939036824233e-85,4.88086898682884e-81
MYH1D,2.70154829301108e-81,6.28128088817309e-77
TUBAL3,7.25319043115274e-81,1.40534616610229e-76
CYTB,9.86598803906932e-80,1.63850597063358e-75
ND1,4.38446630137385e-79,5.66343226522377e-75
COX3,4.1863635949699e-79,5.66343226522377e-75
COII,3.07478213595785e-78,3.24957936088528e-74
ND5,2.86249918686695e-78,3.24957936088528e-74
ATP6,5.63540516242401e-78,5.45945616251176e-74
ND3,8.29181231185043e-78,6.88536410470934e-74
ND4,8.26941047989015e-78,6.88536410470934e-74
FABP3,2.45136297950634e-74,1.89986108743421e-70
COX1,9.70952181738148e-74,7.05477785444771e-70
MYL10,4.16400884677052e-72,2.8475293283471e-68
ACTA1,5.54345466361074e-70,3.58025103224773e-66
FBLN5,2.73538953518168e-68,1.67367474865146e-64
SFRP1,2.87405128133223e-67,1.6705904750772e-63
NOV,1.1422808468269e-61,6.32352272695035e-58
LTBP2,2.53878454652607e-60,1.34155551504718e-56
ND2,1.07471367918933e-59,5.43213337169739e-56
MDK,4.0397791656246e-59,1.95682445407963e-55
FSTL1,1.12477180315909e-58,5.23033969003361e-55
NPY,1.67097451640603e-58,7.47139955723103e-55
CPE,1.27117309256275e-57,5.47326418029362e-54
WNT2B,2.18220162053115e-57,9.06029474748846e-54
MFAP2,3.21367118837354e-57,1.28827602615268e-53
IRX4,2.43848290747679e-56,9.44939371896192e-53
SDHAF4,5.34945015134602e-56,2.00610164828451e-52
ENSGALG00000016471,2.07286353274613e-55,7.53054167916452e-52
DCN,8.65369273781419e-55,3.04854783990343e-51
SESTD1,4.92929337126276e-54,1.68543199104678e-50
PLAC9,6.17049204685383e-54,2.04954395251238e-50
CSRP3,7.29034087871362e-54,2.35424045476465e-50
CKB,1.78990650613866e-53,5.6238548903709e-50
ELN,1.21713152397199e-52,3.72356893096815e-49
ENSGALG00000036956,1.40852742424799e-52,4.19861626476058e-49
PPIC,2.0836102679371e-52,6.05566694303251e-49
COX6A1,5.1036826385654e-52,1.44712247272421e-48
DES,5.33504217495049e-52,1.47670603670948e-48
ENSGALG00000028183,5.89088264161871e-52,1.5926391925471e-48
POPDC2,1.35355089954327e-51,3.57624611482701e-48
MYL9,2.38176398623072e-51,6.15306770793989e-48
CO6,2.47877229663811e-51,6.26446930663605e-48
S100A11,1.23164438898276e-50,3.04644231021503e-47
OSR1,3.32050385515933e-50,8.04207714982466e-47
ACTG1,7.67587112856402e-50,1.82111377045509e-46
MYL3,8.61860002452593e-50,2.00388228324152e-46
FBLN1,6.84886152041159e-49,1.53115982406479e-45
EFEMP1,6.72396034867403e-49,1.53115982406479e-45
MYOM2,1.30042911854711e-48,2.85243856513525e-45
NPC2,7.83715039191079e-48,1.68721296755665e-44
OLFML3,2.24559641765707e-47,4.74651110162192e-44
IGFBP7,7.9560482090665e-47,1.65163798617804e-43
SLC25A6,1.09756802808067e-46,2.23852565286621e-43
CYP1B1,1.32826685397851e-46,2.66233575871803e-43
SEC61B,2.18437939159843e-46,4.30409196806678e-43
EEF1A2,4.32760404815411e-46,8.38497460560338e-43
