,combinedPval,adjustedPval,cluster
MYH15,2.67021838903945e-135,3.12789592706758e-130,1
MYH7,1.4781439126002e-109,8.65749472556269e-105,2
SERPINE2,1.40756818863924e-88,5.49608828799246e-84,2
MYH1F,1.67939036824234e-85,4.91809800496445e-81,2
MYH1D,2.70154829301102e-81,6.32919160258294e-77,2
TUBAL3,7.25319043115274e-81,1.41606549867315e-76,2
CYTB,9.86598803903304e-80,1.65100373868082e-75,1
ND1,4.3844663013743e-79,5.70663031521929e-75,1
COX3,4.18636359496976e-79,5.70663031521929e-75,1
COII,3.07478213595792e-78,3.27436565391759e-74,1
ND5,2.86249918685682e-78,3.27436565391759e-74,1
ATP6,5.63540516242412e-78,5.50109837684565e-74,1
ND3,8.29181231185079e-78,6.93788248736162e-74,1
ND4,8.2694104798902e-78,6.93788248736162e-74,1
FABP3,2.45136297950635e-74,1.91435235181154e-70,1
COX1,9.70952181738144e-74,7.10858844706851e-70,1
MYL10,4.16400884674574e-72,2.86924896909333e-68,1
ACTA1,5.54345466361089e-70,3.60755953632144e-66,1
FBLN5,2.73538953518168e-68,1.68644076792769e-64,3
SFRP1,2.874051281332e-67,1.68333296893659e-63,2
NOV,1.1422808468269e-61,6.37175564262946e-58,3
LTBP2,2.53878454652605e-60,1.3517882819447e-56,3
ND2,1.07471367918938e-59,5.47356718038123e-56,1
MDK,4.03977916561655e-59,1.97175020874884e-55,3
FSTL1,1.12477180315912e-58,5.27023430955762e-55,3
NPY,1.67097451640607e-58,7.52838794810284e-55,3
CPE,1.27117309256282e-57,5.51501171582065e-54,3
WNT2B,2.18220162053534e-57,9.12940249827298e-54,3
MFAP2,3.21367118837356e-57,1.29810240167531e-53,3
IRX4,2.43848290747693e-56,9.52146933727613e-53,1
SDHAF4,5.34945015133604e-56,2.02140326667029e-52,4
ENSGALG00000016471,2.07286353274252e-55,7.58798117885944e-52,3
DCN,8.65369273784444e-55,3.07180075719698e-51,3
SESTD1,4.92929337126287e-54,1.69828768914695e-50,2
PLAC9,6.17049204685383e-54,2.06517692876798e-50,3
CSRP3,7.2903408787254e-54,2.37219751545225e-50,1
CKB,1.78990650614449e-53,5.66675106241746e-50,1
ELN,1.21713152397196e-52,3.75197059789137e-49,3
ENSGALG00000036956,1.40852742425019e-52,4.23064137371541e-49,1
PPIC,2.0836102679372e-52,6.10185677829651e-49,3
COX6A1,5.10368263856542e-52,1.45816045569955e-48,1
DES,5.33504217495037e-52,1.48796966947033e-48,1
ENSGALG00000028183,5.89088264161879e-52,1.60478710996568e-48,1
POPDC2,1.35355089954329e-51,3.60352407123719e-48,1
MYL9,2.38176398623072e-51,6.20000047132827e-48,1
CO6,2.47877229663261e-51,6.31225179003965e-48,3
