,combinedPval,adjustedPval,cluster
MYH15,3.9670696166363083e-144,4.668753768681506e-139,3
MYH7,1.2820220783150694e-124,7.543912746786451e-120,2
MYH1D,1.1930509314362046e-79,4.680248118168591e-75,2
IRX4,4.97954533222951e-76,1.4650783375890952e-71,3
ND6,4.056744956741252e-74,9.548581263075821e-70,3
FABP3,5.672963155930911e-74,1.112730162450954e-69,3
CKB,2.0907247940377883e-72,3.515037620322249e-68,3
TUBAL3,1.2408152610565111e-70,1.825358982232542e-66,2
SFRP1,6.819822509301883e-70,8.917881772513048e-66,5
PLN,4.9495044287383924e-64,5.824958896075925e-60,3
LDHB,2.105520128172992e-62,2.2526714778033164e-58,3
ENSGALG00000050984,1.3819592698373795e-59,1.355330292617078e-55,2
SERPINE2,9.239822900319611e-58,8.36472066994729e-54,3
ATP2A2,2.305609880058829e-56,1.9381569227343686e-52,3
CST3,6.182255854323633e-56,4.8505039585197515e-52,3
IGFBP7,6.607862420787875e-56,4.8604016253281244e-52,3
GATA5,3.11853262299138e-55,2.1588999591107006e-51,5
KCNJ5,4.0969447366467326e-55,2.678667131006846e-51,2
CAV3,1.7951639456461805e-51,1.1119407955685246e-47,3
CSRP3,1.6131007843151946e-48,9.492107643450385e-45,3
MYL10,1.0998177630944138e-47,6.163573550824873e-44,3
UBC,2.6233185502976407e-47,1.4033289913442023e-43,5
SMAD6,5.081998806821469e-47,2.600386307958327e-43,2
ENSGALG00000045540,1.1388089847624478e-46,5.584326355489012e-43,2
TPM1,4.623071051157301e-46,2.1763147591318704e-42,1
SLN,5.0672588317453734e-46,2.2936697568309082e-42,4
ND4,6.406273602267713e-46,2.7923693766454022e-42,3
RPL22L1,7.640314224227011e-46,3.2113255658788226e-42,5
POSTN,3.1298017267187793e-45,1.2701352695481979e-41,8
TESC,7.939069075050177e-45,3.114436451911098e-41,4
CYTB,3.476854078725387e-44,1.3199452518555768e-40,3
LDHA,9.98843269847334e-43,3.67348708482583e-39,2
ND2,3.4382899583444326e-42,1.222785027594218e-38,3
SFRP2,3.5326277934886484e-42,1.222785027594218e-38,4
ATP6,6.295217075540983e-42,2.116770692319213e-38,3
TMSB15B,1.2769028713463513e-41,4.174327420588131e-38,4
ND5,4.800567225155273e-41,1.5269400263434981e-37,3
FKBP1B,5.74022381179893e-41,1.7777732912677138e-37,3
RPL3,6.470376644884491e-41,1.95252275026243e-37,5
APOA1,6.826569539200735e-41,2.0085085052234238e-37,6
RPL38,2.170101638013304e-40,6.2291295898272716e-37,5
BAMBI,2.6031441278662316e-40,7.294240388679753e-37,5
EEF1A1,3.6060374606582194e-40,9.869449435148017e-37,5
FKBP1A,4.915575122749418e-40,1.3147791521738622e-36,1
LRRC3B,4.130313226233618e-39,1.080193655619605e-35,2
ID2,6.209137415297802e-39,1.5885635291078272e-35,5
RPS6,7.792639530797369e-39,1.951272290257597e-35,5
MYOM2,9.422784153802936e-39,2.310304124582505e-35,3
MGST3,2.1907899595461474e-38,5.261817848315718e-35,3
ENSGALG00000048305,2.367644618614286e-38,5.572853922047688e-35,4
STMN1,3.6885318688623037e-38,8.511664794051822e-35,1
ENSGALG00000020788,4.034349767758503e-38,9.13064277752534e-35,3
ND1,4.676475362575999e-38,1.0384221158740079e-34,3
RPS16,5.537681559700803e-38,1.2068835461108574e-34,5
TNNC2,7.119890438115715e-38,1.5234975814688644e-34,3
