,combinedPval,adjustedPval,cluster
Marcksl1,0.0,0.0,0
Tuba1a,0.0,0.0,0
Tubb2b,0.0,0.0,0
Stmn1,0.0,0.0,0
Tubb3,3.6676913606418106e-306,1.2570023269379906e-301,0
Sox11,4.2829244341001624e-300,1.2232140626516157e-295,0
Map1b,1.2679519077945323e-298,3.1039737882265313e-294,0
Basp1,2.4995042587179032e-298,5.3539855873566854e-294,0
Nsg2,6.3169109205424716e-291,1.2027505021264026e-286,0
Dpysl2,2.3546124055328467e-286,4.034899589089088e-282,0
Map2,6.921736395386574e-279,1.0782902401146444e-274,0
Crmp1,1.3365354514561953e-278,1.908589545074624e-274,0
Stmn2,1.760879516495876e-278,2.3211306850168114e-274,0
Rtn1,8.654732305766493e-276,1.0593486257670352e-271,0
Ptms,2.34953370071722e-273,2.684131095574668e-269,0
Tubb5,2.6225158949234217e-270,2.8087394240400238e-266,0
Uchl1,4.642358420692655e-264,4.679538774005505e-260,0
Dpysl3,4.9472680029622985e-264,4.709840893407595e-260,0
Nnat,4.888663597882264e-261,4.409099057514716e-257,0
mt-Atp6,1.505159100669951e-259,1.289631750545486e-255,0
Ncam1,8.003462332368763e-259,6.530883162054618e-255,0
Elavl3,1.02092205892365e-255,7.952125226762829e-252,0
Gm1673,2.9985894780768427e-255,2.23409934079005e-251,0
Ina,3.1905786156221616e-255,2.2780933277454133e-251,0
Tmsb10,5.540965228267238e-253,3.7980328771151576e-249,0
Sox4,1.8517538052788853e-252,1.2204590201272675e-248,4
Stmn3,1.1448103634404243e-251,7.265794187418192e-248,0
Tubb2a,2.101010250141042e-250,1.285829672470876e-246,0
Dcx,2.793473484177271e-250,1.6506684829569248e-246,0
Gng3,3.4161687821227493e-250,1.9513329076803715e-246,0
Ckb,3.2998623446927075e-247,1.8240949177253538e-243,9
Nsg1,1.5809817659352993e-246,8.466232413055704e-243,0
mt-Co2,3.950743126685191e-245,2.051531345778126e-241,0
mt-Nd4,2.4363531323610444e-243,1.2279328648166082e-239,0
Cd24a,6.004648323678535e-243,2.9399018826567084e-239,0
Bex2,7.716558428944563e-243,3.6731143757777466e-239,0
Actg1,2.1562770018773384e-242,9.986564941349013e-239,0
Gpm6a,7.785062360711404e-242,3.510684508152222e-238,0
mt-Co3,2.935977208996177e-241,1.290034653416146e-237,0
Ttc3,4.063664556882333e-241,1.7408893298353608e-237,0
Eif4g2,5.2675336820819624e-241,2.2015916442214684e-237,0
Gap43,1.1439299204854236e-240,4.667275452808683e-237,0
Fnbp1l,1.1942299772754297e-240,4.759187515458087e-237,0
Sept3,3.6659553878900254e-240,1.4277356466840499e-236,0
Aplp1,2.753398106515727e-238,1.0485032943542872e-234,0
Sbk1,6.0130983009566215e-238,2.240029695376777e-234,0
Dpysl5,9.566607320021064e-237,3.4879752421814347e-233,0
Gdi1,1.1257710286878088e-236,4.0190382027660664e-233,0
Tmsb4x,2.057885301656607e-234,7.196782685809937e-231,0
Ptma,2.5644960076966523e-233,8.789118636563202e-230,4
Gnao1,5.100510148720712e-233,1.7137866033608242e-229,0
mt-Cytb,8.041050737546922e-231,2.6498589812434987e-227,0
Mllt11,7.831491281808125e-228,2.532106119907918e-224,0
Rtn3,1.130959964770211e-227,3.5889447722743773e-224,0
Mapt,7.619346020800519e-225,2.373932198793797e-221,0
Dner,5.166639516936362e-224,1.5810057084184597e-220,0
mt-Co1,1.7736405087348046e-222,5.332170738045319e-219,0
Prdx2,6.776057736237551e-222,2.0019923237606757e-218,0
Idh1,2.0069326585423712e-221,5.829000496170053e-218,0
Enc1,2.500045738025353e-221,7.14019392842113e-218,0
Rufy3,5.088635962759717e-221,1.4295022773256297e-217,0
Kidins220,2.3931912816213333e-216,6.614530543934885e-213,0
Lgals1,3.8838819057070306e-216,1.056425243976602e-212,3
Ywhag,7.890339126019735e-215,2.1126570305252876e-211,0
Gng2,2.9379555751389163e-214,7.74542354861577e-211,0
Cpe,3.861722250817252e-214,1.0026524114828558e-210,0
Arl8a,5.409776109477382e-214,1.3836230635554365e-210,0
Dbn1,4.2785952203279794e-213,1.0782155543265917e-209,0
Dynll2,9.172787195264602e-212,2.278061955015293e-208,0
Ybx1,1.842732005532276e-210,4.511047941752983e-207,0
Pcsk1n,6.080631307665592e-209,1.4675862232369572e-205,0
Npdc1,8.864574340197439e-209,2.1097873970600676e-205,0
Jpt1,9.139610913470366e-209,2.1454487820702914e-205,0
Kif1a,2.920867877819458e-208,6.7638426606480165e-205,0
H3f3a,3.9948893343215635e-208,9.127604070849329e-205,0
Marcks,7.677302202944185e-208,1.7310449588881737e-204,0
mt-Nd1,4.4025284353473746e-207,9.797713778513607e-204,0
Snrpn,6.81280202836502e-207,1.4967334685918076e-203,0
Sdc3,1.5332218043484053e-206,3.3257622486574014e-203,0
Cxadr,1.5819273716041151e-206,3.3885184705217846e-203,0
Thra,4.144141830999706e-206,8.767239998604127e-203,0
Ywhae,1.1469671111518076e-205,2.396902763714843e-202,0
Calm3,4.338689431059707e-205,8.957643520330376e-202,0
Matr3,5.190742574632135e-205,1.0589208729739757e-201,0
Chl1,6.111420142637843e-204,1.2320732235683359e-200,0
mt-Nd2,7.636888740962919e-204,1.521707972691037e-200,0
Ppp2r1a,1.7611121496495575e-202,3.468814407158778e-199,0
Pafah1b3,1.8704468951297e-202,3.6423025171389345e-199,0
Stmn4,1.1667937370010626e-201,2.246556711803368e-198,0
Atat1,3.786925739934407e-201,7.210370531598956e-198,0
Cdk5r1,2.0847401518025323e-200,3.9257608738817e-197,0
Calm1,8.010604296672262e-199,1.4920753498744536e-195,0
Hist3h2ba,9.359664245365515e-199,1.7246089077065046e-195,0
mt-Nd3,4.1022622529950324e-198,7.478403104012113e-195,0
Klc1,4.8791022504773176e-198,8.800951304326407e-195,0
Ptpn5,2.0742182358345574e-196,3.7025123751896196e-193,0
Kif5c,1.360532646314822e-195,2.403535476042867e-192,0
Serf1,2.0807909303533775e-195,3.638443825878584e-192,0
Apc2,2.719433770236956e-195,4.707134365621386e-192,0
Ubb,3.616317417689962e-195,6.196976465581349e-192,0
Ptprs,1.305275633763065e-193,2.2145942134608722e-190,0
Podxl2,1.865013272102112e-193,3.1332500746228304e-190,0
Nrep,3.0021536145674225e-193,4.994695186653665e-190,0
Nrxn2,3.1786802173353885e-193,5.237533375505619e-190,0
Rab3a,6.521354025695154e-193,1.0642944123810043e-189,0
