,combinedPval,adjustedPval,cluster
Marcks,2.2885870924747412e-125,4.109295445438695e-120,2
Ncam1,7.139182026718999e-123,6.40941484879889e-118,2
Hoxb2,8.944292899480756e-121,5.353338193589935e-116,2
Rpl29,3.507433704500437e-119,1.574451917787447e-114,1
Dcx,1.8816682908823356e-114,6.757296642084888e-110,2
Basp1,6.092359489237532e-114,1.8231995032669783e-109,2
Dpysl3,9.618599669191789e-114,2.4672532636948785e-109,2
Slc25a5,7.512595164346851e-112,1.4988128213247506e-107,1
Tuba1a,7.372000226286293e-112,1.4988128213247506e-107,2
Meg3,1.2673289348961133e-111,2.1287916508297355e-107,2
Ttc3,1.304145120563484e-111,2.1287916508297355e-107,2
Kif1b,4.84559591459332e-110,7.2504651770185425e-106,2
Dynll2,3.8753057480748576e-109,5.3525723066326494e-105,2
Map2,4.527849761150189e-109,5.807161377398589e-105,2
Sptan1,1.8973216950326567e-108,2.2711699649582723e-104,2
Ina,5.113982274642684e-108,5.4014482504341023e-104,2
Cd24a,4.9283732432701416e-108,5.4014482504341023e-104,2
Map1b,1.0430982001801436e-107,1.0405252260566167e-103,2
Trp53inp2,2.4412226059620456e-106,2.3070324570602267e-102,2
Sox11,5.389133080740243e-106,4.838255903908383e-102,2
Tshz2,5.79334530007703e-106,4.953475762557813e-102,2
Tsc22d1,8.864442919990411e-106,7.234835977908242e-102,6
Tmsb4x,2.4142207978545314e-105,1.884729696426935e-101,2
Meis1,9.327832811873302e-105,6.978618127840161e-101,2
Tshz1,6.298019436054903e-104,4.5233887176876885e-100,2
Ank3,1.1702094537849224e-103,8.081466498998807e-100,2
Dpysl2,2.3190517578318484e-103,1.5422209555714226e-99,2
Rps27,9.937533383586853e-103,6.372656238169348e-99,1
Nrep,6.373112975400606e-102,3.945967844797584e-98,2
Rpl10,8.056132177276294e-102,4.821756237402031e-98,1
Runx1t1,9.744539731110212e-102,5.644163156049894e-98,2
Lamp5,3.3679254600662916e-101,1.8897850773211533e-97,2
Rbp1,4.259782367152677e-101,2.253758687897025e-97,2
App,4.267626550083506e-101,2.253758687897025e-97,2
Uba52,4.197813802051836e-100,2.1002815309891173e-96,1
Hoxb3,4.210950066341092e-100,2.1002815309891173e-96,2
Tubb2a,5.462687430326316e-100,2.6509683934978164e-96,2
Ywhae,5.835865249866313e-100,2.757538479610654e-96,6
Ddx5,6.708505151431534e-100,3.088595775984287e-96,2
Dync1i2,7.261753024029283e-100,3.2597283194580396e-96,2
